rowID,Mol ID,SMILES,Atom ID,Aromatic,Strained,C_Mulliken Charge,AtomDegree,C_Effective Atom Polarizability,C_Partial Pi Charge ,C_Pi Electronegativity,C_SigmaElectonegativity,Hybridization,H_mulliken_charge,H_Effective Atom Polarizability,H_sigmaElectroNegativityDescriptor,NWChem,Avg_NWChem,BondLength,Exp1JCH,SigmaDeltaTheta,SigmaAbsDelthaTheta,Omega,MaxDeltaTheta
36,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a7,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89781,3.6275,7.337401928,144.1757,144.1728667,1.092342141,144,20.86423442,49.47347794,124.2109611,35.16885618
37,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a13,FALSE,TRUE,6.20945,2,5.804,0,0,7.551792927,SP3,0.89781,3.6275,7.337401928,144.1757,144.1728667,1.09234214,144,20.86423477,49.47347804,124.2109607,35.1688564
38,21_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C1([H])C2([H])([H]))),a6,FALSE,TRUE,6.0935,3,6.43275,0,0,7.616471984,SP3,0.89887,3.941875,7.356075441,163.2186,163.2186,1.09029215,164,66.50270867,66.50270867,146.5788994,22.16756969
39,22_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C([H])(C1([H])([H]))C23([H])))),a9,FALSE,TRUE,6.06849,3,7.134,0,0,7.670039413,SP3,0.89336,4.2925,7.359194836,153.3308,153.3308,1.087862253,156,29.01730184,70.9332338,119.4457411,49.97526782
40,22_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C([H])(C1([H])([H]))C23([H])))),a8,FALSE,TRUE,6.16186,3,7.03725,0,0,7.695578371,SP3,0.88254,4.244125,7.360733584,203.8092,204.30925,1.07836636,205,109.2409353,109.2409353,137.4757303,48.93034226
41,22_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C([H])(C1([H])([H]))C23([H])))),a15,FALSE,TRUE,6.18312,3,7.03725,0,0,7.695578371,SP3,0.88444,4.244125,7.360733584,204.8093,204.30925,1.077987857,205,111.1400242,111.1400242,137.5174051,49.50438992
42,23_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C1([H])C23([H])))),a7,FALSE,TRUE,6.08439,3,6.77125,0,0,7.670103377,SP3,0.89053,4.111125,7.359195205,164.5663,164.5663,1.084082571,163,49.25523452,52.58695839,124.7715626,50.92109646
43,23_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C2([H])(C3([H])(C1([H])C23([H])))),a8,FALSE,TRUE,6.15228,3,6.6745,0,0,7.695579504,SP3,0.88732,4.06275,7.360733584,215.5743,215.5743,1.076107595,212,115.4558907,115.4558907,143.0826866,48.76350682
44,24_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C3([H])(C1([H])C23([H])))),a7,FALSE,TRUE,6.13268,3,5.949,0,0,7.695709614,SP3,0.89393,3.7,7.360734328,225.7716,225.77865,1.074352166,212,125.3969489,125.3969489,149.9220824,47.91594533
45,24_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C3([H])(C1([H])C23([H])))),a11,FALSE,TRUE,6.13268,3,5.949,0,0,7.695709614,SP3,0.89393,3.7,7.360734328,225.7857,225.77865,1.074356598,212,125.401185,125.401185,149.9255438,47.91740221
46,25_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a15,FALSE,TRUE,6.0427,3,7.49675,0,0,7.644607641,SP3,0.88012,4.473875,7.357665243,160.3536,160.3536,1.086286849,161.2,28.64790426,70.19679955,119.9872472,49.42235191
