Mol_ID,Hybridization,Experimental_1JCH,Avg_NWChemPrediction,Observed - Predicted,Avg_NWChemPrediction_Fit,Observed - Predicted_fit
29_NWChem_1JCH_mulliken,SP3,165,166.2025,-1.2025,165.6066163,-0.606616262
6_NWChem_1JCH_mulliken,SP3,160.3,161.4416,-1.1416,160.9880434,-0.688043368
53_NWChem_1JCH_mulliken,SP3,160,158.9797,1.0203,158.5997419,1.400258132
25_NWChem_1JCH_mulliken,SP3,165,166.00885,-1.00885,165.4187554,-0.418755429
43_NWChem_1JCH_mulliken,SP3,149.1,148.0927,1.0073,148.0382087,1.061791266
16_NWChem_1JCH_mulliken,SP3,130,129.0008,0.9992,129.5170611,0.482938916
70_NWChem_1JCH_mulliken,SP3,175.7,174.7062,0.9938,173.8560982,1.843901849
3_NWChem_1JCH_mulliken,SP3,125.4,124.4147,0.9853,125.0680625,0.331937457
210_NWChem_1JCH_mulliken,SP3,130,129.0215,0.9785,129.5371423,0.462857743
13_NWChem_1JCH_mulliken,SP3,124.3,123.37944,0.92056,124.0637516,0.236248359
12_NWChem_1JCH_mulliken,SP3,124,123.1037667,0.8962333,123.7963196,0.203680405
20_NWChem_1JCH_mulliken,SP3,166,166.8517,-0.8517,166.2364084,-0.236408428
25_NWChem_1JCH_mulliken,SP3,161.2,160.3536,0.8464,159.9325691,1.267430872
5_NWChem_1JCH_mulliken,SP3,123.3,124.1348083,-0.8348083,124.7965382,-1.496538206
65_NWChem_1JCH_mulliken,SP3,129,128.1655333,0.8344667,128.7067647,0.293235318
29_NWChem_1JCH_mulliken,SP3,149.5,150.3327,-0.8327,150.2112439,-0.711243933
14_NWChem_1JCH_mulliken,SP3,160,159.1736,0.8264,158.7878452,1.212154772
71_NWChem_1JCH_mulliken,SP3,140,140.8191,-0.8191,140.982053,-0.982053005
68_NWChem_1JCH_mulliken,SP3,168,168.808875,-0.808875,168.1350737,-0.135073682
99_NWChem_1JCH_mulliken,SP3,145,145.80745,-0.80745,145.8212763,-0.821276282
216_NWChem_1JCH_mulliken,SP3,144.6,143.79935,0.80065,143.8732084,0.726791568
21_NWChem_1JCH_mulliken,SP3,164,163.2186,0.7814,162.71192,1.288080047
66_NWChem_1JCH_mulliken,SP3,131.4,130.6245,0.7755,131.0922206,0.307779428
22_NWChem_1JCH_mulliken,SP3,125,125.74495,-0.74495,126.3585447,-1.35854472
55_NWChem_1JCH_mulliken,SP3,195.8,196.5426,-0.7426,195.039699,0.760301027
101_NWChem_1JCH_mulliken,SP3,144.1,144.8073,-0.7073,144.8510258,-0.751025766
48_NWChem_1JCH_mulliken,SP3,138,138.7045,-0.7045,138.930669,-0.930668973
22_NWChem_1JCH_mulliken,SP3,205,204.30925,0.69075,202.574165,2.425835029
16_NWChem_1JCH_mulliken,SP3,166,166.6777,-0.6777,166.0676102,-0.067610158
137_NWChem_1JCH_mulliken,SP3,138,137.33695,0.66305,137.6040019,0.39599812
14_NWChem_1JCH_mulliken,SP3,126,125.342125,0.657875,125.9677622,0.032237827
139_NWChem_1JCH_mulliken,SP3,126,125.362625,0.637375,125.9876493,0.012350674
210_NWChem_1JCH_mulliken,SP3,146,145.3743333,0.6256667,145.4011076,0.598892394
218_NWChem_1JCH_mulliken,SP3,142.1,142.71405,-0.61405,142.8203535,-0.720353475
99_NWChem_1JCH_mulliken,SP3,136,136.5959,-0.5959,136.8851056,-0.885105569
14_NWChem_1JCH_mulliken,SP3,158,158.54945,-0.54945,158.1823542,-0.182354192
